lng,lat,縣市別,工業區名稱,管理單位名稱,服務中心地址,工業區面積
121.6130666,25.0565712,台北市南港區,南港軟體工業園區,經濟部產業園區管理局,台北市南港區三重路19之10號2樓,8.2公頃
121.57504,25.0781661,台北市內湖區,內湖科技園區,台北市政府,台北市內湖區洲子街12號4樓,149.72公頃
121.5136116,25.1028595,台北市士林區,北投士林科技園區,台北市政府,112052台北市北投區承德路六段337號,90.24公頃
121.3742034,25.0575212,新北市林口區,林口特定區(工二),經濟部產業園區管理局,桃園縣龜山鄉文化一路53號,52.44公頃
121.785172,25.0965557,新北市瑞芳區,瑞芳產業園區,經濟部產業園區管理局,新北市瑞芳區頂坪路116號,38公頃
121.4181359,25.001685,新北市樹林區,樹林產業園區,經濟部產業園區管理局,新北市樹林區武林街6號,22公頃
121.4576249,25.0633587,新北市五股區,新北產業園區,經濟部產業園區管理局,新北市新莊區五工路95號,140.55公頃
121.421176,24.9632109,新北市土城區,土城產業園區,經濟部產業園區管理局,新北市土城區沛陂里三民路4號,107公頃
121.4565081,24.9988643,新北市板橋區,台北遠東通訊園區,遠東資源開發股份有限公司,新北市板橋區遠東路1號4樓,24.3745公頃
120.6083414,24.169161,台中市南屯區,台中工業區,經濟部產業園區管理局,台中市西屯區協和里工業區五路2號,583公頃
120.6188344,24.2099602,台中市西屯區,中部科學園區台中園區,國科會中部科學園區管理局,台中市西屯區中科路2號,466公頃
120.651973,24.404733,台中市大甲區,大甲幼獅工業區,經濟部產業園區管理局,台中市大甲區日南里幼獅路36號,218.47公頃
120.5231777,24.2372498,台中市梧棲區,台中港關連工業區,經濟部產業園區管理局,台中市梧棲區自強路280號,142.8公頃
120.7141497,24.0951673,台中市大里區,大里工業區,經濟部產業園區管理局,台中市大里區仁工業路2號,77.21公頃
120.5154918,24.237069,台中市梧棲區,臺中港科技產業園區,經濟部產業園區管理局,台中市梧棲區大觀路6號,122.27公頃
120.7047938,24.2172909,台中市潭子區,潭子科技產業園區,經濟部產業園區管理局,台中市潭子區建國路1號,26.12公頃
120.6962293,24.0851753,台中市大里區,台中軟體園區,經濟部產業園區管理局,臺中市大里區科技路1號,7.9公頃
120.6188344,24.2099602,台中市后里區,中部科學園區后里園區,國科會中部科學園區管理局,台中市西屯區中科路2號,255公頃
120.6467736,24.161886,台中市豐原區,豐洲科技工業園區,台中市政府經濟發展局,臺中市西屯區臺灣大道三段99號,47.6356公頃
120.6066403,24.1472327,台中市南屯區,台中精密機械科技園區,台中市政府經濟發展局,408台中市南屯區精科東路17號,161.71公頃
120.5235979,24.2561053,台中市梧棲區,台中港自由貿易港區,台灣港務股份有限公司台中港務分公司,435台中市梧棲區臺灣大道十段2號南棟1樓,82.55公頃
120.1831494,22.973813,台南市南區,安平產業園區,經濟部產業園區管理局,台南市南區中華西路一段67號,200公頃
120.1475911,23.0453952,台南市安南區,台南科技工業區,經濟部產業園區管理局,台南市安南區顯宮里科技公園大道1號,493.88公頃
120.2743476,23.0490774,台南市永康區,永康產業園區,經濟部產業園區管理局,台南市永康區王行里環工路6號,74.6743公頃
120.323189,23.209542,台南市官田區,官田產業園區,經濟部產業園區管理局,台南市官田區二鎮里工業路21號,227公頃
120.2778165,23.0411905,台南市永康區,永康科技工業區,台南市政府,台南市永康區永科三路99號,132.11公頃
120.3516125,23.2835718,台南市柳營區,柳營科技工業區,台南市政府,台南市柳營鄉大農村工一路7號,243.39公頃
120.2813333,23.3032744,台南市新營區,新營產業園區,經濟部產業園區管理局,台南市新營區新工路28號,124公頃
120.2822156,23.1012681,台南市新市區,南部科學園區台南園區,國科會南部科學園區管理局,台南市新市區南科三路22號,1043公頃
120.1845248,22.9913795,台南市安南區,新吉工業區,台南市政府,台南市安平區永華路二段６號,123.26公頃
120.2530412,22.9682124,台南市仁德區,保安工業區,永德土地開發公司,台南市仁德區保安村永德路9號,59.81公頃
120.2192866,23.0457729,台南市安南區,和順工業區,台南市政府,安南區永安路11巷11號,
120.2198774,23.1778188,台南市麻豆區,麻豆工業區,台南市政府,台南市麻豆區麻口里麻豆口10-2號,110.84公頃
120.2081306,23.0598777,台南市安南區,總頭寮工業區,台南市政府,709台南市安南區工明南一路52號,
120.2465153,22.9226739,台南市仁德區,仁德工業區,台南市政府,717台南市仁德區開發三路13號,91.75
120.2459315,23.0325018,台南市永康區,亞太工業區,台南市政府,710台南市永康區中正路279巷1號,
120.1808044,22.9195015,台南市南區,灣裡工業區,台南市政府,702台南市南區興南街312號,
120.2635548,22.9658969,台南市仁德區,新田工業區,台南市政府,717台南市仁德區義林路156號,
120.3451295,22.5664197,高雄市小港區,高雄臨海工業區,經濟部產業園區管理局,高雄市小港區大業北路37號,"1,560公頃"
120.2922929,22.6006924,高雄市前鎮區,前鎮科技產業園區,經濟部產業園區管理局,高雄市前鎮區高雄加工區中一路2號,72.3公頃
120.3054173,22.7193998,高雄市楠梓區,楠梓科技產業園區,經濟部產業園區管理局,高雄市楠梓區加昌路600號,92.33公頃
120.2922929,22.6006924,高雄市前鎮區,高雄軟體園區,經濟部產業園區管理局,高雄市前鎮區高雄加工區中一路2號,7.9178公頃
120.3044261,22.597726,高雄市前鎮區,成功物流園區,經濟部產業園區管理局,高雄市前鎮區成功二路4號,46.6公頃
120.2922828,22.6006891,高雄市前鎮區,臨廣科技產業園區,經濟部產業園區管理局,高雄市前鎮區高雄加工出口區中一路2號,9公頃
120.4291974,22.5823915,高雄市大寮區,大發工業區,經濟部產業園區管理局,高雄市大寮區華中路1號,378公頃
120.3448005,22.7007889,高雄市仁武區,仁武工業區,經濟部產業園區管理局,高雄市仁武區工業二路3號,21公頃
120.2515884,22.8090925,高雄市永安區,永安工業區,經濟部產業園區管理局,高雄市永安區永工二路1號,73.25公頃
120.3343851,22.6169083,高雄市鳳山區,鳳山工業區,經濟部產業園區管理局,高雄市鳳山區輜汽北一路17號,11公頃
120.4067253,22.4993296,高雄市林園區,林園工業區,經濟部產業園區管理局,高雄市林園區石化二路10號,403.26公頃
120.3422332,22.7273531,高雄市大社區,大社工業區,經濟部產業園區管理局,高雄市大社區經建路6號,109.95公頃
120.2557108,22.831206,高雄市路竹區,南部科學園區高雄園區,國科會南部科學園區管理局,82151高雄市路竹區路科五路23號,570公頃
121.5122669,25.0425743,高雄市岡山區,岡山本州工業區,高雄市政府經濟發展局,中正區衡陽路51號14樓之1,208.17公頃
120.2698486,22.6243876,高雄市鼓山區,高雄港自由貿易港區,臺灣港務公司高雄港務分公司,高雄市鼓山區臨海二路62號,443.13公頃
120.309927,22.619533,高雄市大寮區,高雄市和發產業園區,高雄市政府,高雄市苓雅區四維三路80號4樓之2,136.13公頃
121.699008,25.148652,基隆市安樂區,大武崙產業園區,經濟部產業園區管理局,基隆市安樂區武訓街59號,29公頃
121.703119,25.087746,基隆市七堵區,六堵科技園區,基隆市政府,基隆市七堵區工建北路1之2號,54.48公頃
121.7434564,25.1318302,基隆市中山區,基隆港自由貿易港區,臺灣港務股份有限公司基隆港務分公司(經管建物),基隆市中正區20202中正路1號,71.16公頃
121.196096,25.071751,桃園市大園區,大園產業園區,經濟部產業園區管理局,桃園市大園區民生路101號,204.38公頃
121.3743866,25.056365,桃園市龜山區,林口特定區(工三),經濟部產業園區管理局,桃園市龜山區文化一路54號,119.31公頃
121.174484,24.9262405,桃園市楊梅區,桃園幼獅產業園區,經濟部產業園區管理局,桃園市楊梅區埔心青山里獅二路2號,61.57公頃
121.322245,24.983703,桃園市桃園區,龜山產業園區,經濟部產業園區管理局,桃園市桃園區大誠路9號,131公頃
121.2043452,24.8994478,桃園市平鎮區,平鎮產業園區,經濟部產業園區管理局,桃園市平鎮區湧光里南豐路261號,104公頃
121.2394532,24.978936,桃園市中壢區,中壢產業園區,經濟部產業園區管理局,桃園市中壢區東園路57號,432.9公頃
121.11805,25.0521089,桃園市觀音區,觀音產業園區,經濟部產業園區管理局,桃園市觀音區工業五路3號,632.12公頃
121.0577857,25.0249368,桃園市觀音區,桃園環保科技園區,環保署,桃園市觀音區大潭村大潭三路12巷2號3樓,31公頃
121.0577857,25.0249368,桃園市觀音區,桃園科技工業園區,桃園市政府,桃園市觀音區大潭村大潭三路12巷2號3樓,274.9866公頃
121.0577857,25.0249368,桃園市觀音區,大潭濱海特定工業區,桃園市政府,桃園市觀音鄉大潭村大潭三路12巷2號3樓,234.92公頃
121.188061,24.887672,桃園市龍潭區,新竹科學園區龍潭園區,國科會科學園區管理局,桃園市龍潭區龍園一路1號,106.94公頃
121.189159,24.836734,桃園市龍潭區,龍潭渴望園區,渴望園區服務開發（股）公司,桃園市龍潭區渴望路185號,179公頃
121.2096526,24.8872248,桃園市龍潭區,烏樹林工業區,桃園市政府,桃園市龍潭鄉工二路70巷21弄17號,51公頃
121.2541656,25.0992539,桃園市大園區,遠雄自由貿易港區,交通部民用航空局及遠雄航空自由貿易港區(股)公司,桃園市大園區航翔路101號,45公頃
121.261337,25.100484,桃園市蘆竹區,海湖坑口工業區,桃園市政府,蘆竹鄉海湖村海湖186之28號,178公頃
121.044503,24.988242,桃園市新屋區,新屋永安工業用地,桃園市政府,桃園縣新屋區永安里下庄子232號,35公頃
121.1624196,24.9291885,桃園市楊梅區,幼獅擴大工業用地,桃園市政府,楊梅區楊梅鎮高青路22巷1號,107公頃
121.192861,24.859572,桃園市龍潭區,龍潭工業園區,中華映管股份有限公司,龍潭區三和里華映路1號,27.44公頃
121.2431646,24.9428486,桃園市新屋區,大洋工業區,大洋塑膠,桃園市中壢區後寮里龍興路539號,10.57公頃
121.149899,24.975507,桃園市觀音區,日禕紡織報編工業區,日禕紡織,328桃園市觀音鄉上大村大湖路一段298號,5.88公頃
121.1394918,25.0694825,桃園市觀音區,東和鋼鐵報編工業區,東和鋼鐵,328桃園市觀音區保障里8鄰草漯116號,27.3244公頃
121.3183907,24.949071,桃園市八德區,美超微科技園區,美超微電腦股份有限公司、大訊科技股份有限公司,334桃園市八德區興豐路1899號,5.74公頃
121.1616649,24.9507561,桃園市楊梅區,太平洋電線電纜公司楊梅廠,太平洋電線電纜公司,326桃園市楊梅區快速路五段858號,6.65公頃
121.005907,24.7816587,新竹市東區,新竹科學園區,國科會科學園區管理局,新竹市新安路2號,625公頃
121.0099327,24.8720567,新竹縣湖口鄉,新竹產業園區,經濟部產業園區管理局,新竹縣湖口鄉中華路22號,517公頃
121.003595,24.8635925,新竹縣湖口鄉,鳳山工業區,新竹縣政府,303新竹縣湖口鄉中華路1號,18.64公頃
120.9232159,24.7070693,苗栗縣竹南鎮,新竹科學園區竹南園區,國科會科學園區管理局,苗栗縣竹南鎮科研路36號,123公頃
120.8805536,24.710209,苗栗縣竹南鎮,竹南工業區,經濟部產業園區管理局,苗栗縣竹南鎮和興路336號,76.3公頃
120.7920541,24.4811145,苗栗縣銅鑼鄉,銅鑼工業區,經濟部產業園區管理局,苗栗縣銅鑼鄉自強路17號,50.84公頃
120.8958165,24.6834268,苗栗縣頭份市,頭份工業區,經濟部產業園區管理局,苗栗縣頭份鎮自強路二段166號,93.8公頃
120.766533,24.466912,苗栗縣銅鑼鄉,新竹科學園區銅鑼園區,國科會科學園區管理局,366苗栗縣銅鑼鄉銅科北路8號,349.7公頃
120.8782607,24.6980736,苗栗縣竹南鎮,廣源科技園區,廣源電子,苗栗縣竹南鎮山佳里照南18號,20公頃
120.7446524,24.3758884,苗栗縣三義鄉,三義工業區,財團法人三義工業區服務中心,苗栗縣三義鄉西湖村伯公坑40-4號,76.3公頃
120.5717773,23.8485696,彰化縣田中鎮,田中產業園區,經濟部產業園區管理局,彰化縣田中鎮新工三路95號,28公頃
120.3467284,23.912136,彰化縣芳苑鄉,芳苑產業園區,經濟部產業園區管理局,彰化縣芳苑鄉後寮村工區路18號,162公頃
120.4598289,23.8789931,彰化縣埤頭鄉,埤頭產業園區,經濟部產業園區管理局,彰化縣埤頭鄉興工路1號,18公頃
120.4873609,24.0121254,彰化縣福興鄉,福興產業園區,經濟部產業園區管理局,彰化縣福興鄉萬豊村福工路1號,43公頃
120.510972,24.171435,彰化縣伸港鄉,全興產業園區,經濟部產業園區管理局,彰化縣伸港鄉溪底村興工路67號,246.8公頃
120.413937,24.078788,彰化縣線西鄉,彰濱工業區(線西區),經濟部產業園區管理局,彰化縣鹿港鎮鹿工路2號,"3,643公頃"
120.413937,24.078788,彰化縣鹿港鎮,彰濱工業區(鹿港區),經濟部產業園區管理局,彰化縣鹿港鎮鹿工路2號,"3,643公頃"
120.6006844,23.9029976,彰化縣社頭鄉,社頭織襪產業園區,經濟部產業園區管理局,彰化縣社頭鄉朝興村社石路575號,7.49公頃
120.669037,23.9269077,南投縣南投市,南崗工業區,經濟部產業園區管理局,南投市南崗三路21號,412公頃
120.7048612,23.7677731,南投縣竹山鎮,竹山工業區,經濟部產業園區管理局,南投縣竹山延平一路5號,22.0584公頃
120.6188344,24.2099602,南投縣南投市,新竹科學園區中興園區,國科會中部科學園區管理局,台中市西屯區中科路2號,259公頃
120.6664375,23.8921875,南投縣南投市,南投旺來產業園區,南投縣政府,540南投縣南投市旺來路10號,16.59公頃
120.3317397,23.6116061,雲林縣元長鄉,元長產業園區,經濟部產業園區管理局,雲林縣元長鄉下寮村興工街28號,16公頃
120.4675809,23.6430088,雲林縣大埤鄉,豐田產業園區,經濟部產業園區管理局,雲林縣大埤鄉嘉興村豐田路67號,43公頃
120.5898976,23.7140461,雲林縣斗六市,斗六產業園區,經濟部產業園區管理局,雲林縣斗六市斗工十路7號,203公頃
120.5460566,23.7367352,雲林縣大北勢區,雲林科技工業區,經濟部產業園區管理局,雲林縣斗六市科加路22號,243.04公頃
120.6188344,24.2099602,雲林縣虎尾鎮,中部科學園區虎尾園區,國科會中部科學園區管理局,台中市西屯區中科路2號,97公頃
120.2164327,23.7947101,雲林縣麥寮鄉,雲林離島式基礎產業園區,經濟部產業園區管理局,雲林縣麥寮鄉中興村工業路1535號,2255公頃(麥寮)283(新興)
120.4477142,23.5228451,嘉義縣民雄鄉,民雄產業園區,經濟部產業園區管理局,嘉義縣民雄鄉福樂村中正路68號,243.84公頃
120.2472273,23.4382674,嘉義縣朴子市,朴子產業園區,經濟部產業園區管理局,嘉義縣朴子市工業區二街1號,21.52公頃
120.2204357,23.3592526,嘉義縣義竹鄉,義竹產業園區,經濟部產業園區管理局,嘉義縣義竹鄉義竹工業區義工一路4號,15.65公頃
120.4477142,23.5228451,嘉義縣民雄鄉,頭橋產業園區,經濟部產業園區管理局,嘉義縣民雄鄉福樂村中正路68號,87.49公頃
120.362782,23.5087802,嘉義縣太保市,嘉太產業園區,經濟部產業園區管理局,嘉義縣太保市嘉太工業區中興路1號,59.4194公頃
120.5139617,23.5980943,嘉義縣大林鎮,大埔美精密機械園區一期,嘉義縣政府,嘉義縣大林鎮大埔美園區3路99號,297公頃
120.5139617,23.5980943,嘉義縣大林鎮,大埔美精密機械園區二期,嘉義縣政府,嘉義縣大林鎮大埔美園區3路99號,86公頃
120.2770762,23.4401017,嘉義縣鹿草鄉,馬稠後產業園區,嘉義縣政府,611嘉義縣鹿草鄉園區一路2號,428.52公頃
120.3826643,23.5215951,嘉義縣新港鄉,新港工業區,,616嘉義縣新港鄉中洋工業區,243公頃
120.5773299,22.4117802,屏東縣枋寮鄉,屏南工業區,經濟部產業園區管理局,屏東縣枋寮鄉東海村屏南路36號,281公頃
120.541199,22.637979,屏東縣內埔鄉,內埔工業區,經濟部產業園區管理局,屏東縣內埔鄉豐田村建國路4號,103公頃
120.5003131,22.6634486,屏東縣屏東市,屏東工業區,經濟部產業園區管理局,屏東縣屏東市工業一路5號,113.1849公頃
120.4540779,22.6421103,屏東縣屏東市,屏東科技產業園區,經濟部產業園區管理局,屏東市屏加路1號,123.04公頃
120.5389025,22.7132856,屏東縣長治鄉,屏東農業生物科技園區,行政院農業委員會屏東農業生物技術園區籌備處,屏東縣長治鄉德和村神農路一號,398公頃
120.4505616,22.64878,屏東縣屏東市,屏東汽車專業區,,屏東縣屏東市大溪路335號,100公頃
121.8384594,24.6508396,宜蘭縣蘇澳鎮,龍德產業園區,經濟部產業園區管理局,宜蘭縣五結鄉利工二路46號,236.09公頃
121.8384594,24.6508396,宜蘭縣蘇澳鎮,利澤產業園區,經濟部產業園區管理局,宜蘭縣五結鄉利工二路46號,330公頃
121.7572274,24.7340166,宜蘭縣宜蘭市,新竹科學園區宜蘭園區,國科會科學園區管理局,260宜蘭市宜科南路1號1樓,70.63公頃
121.8571957,24.5968613,宜蘭縣蘇澳鎮,蘇澳港自由貿易港區,臺灣港務股份有限公司基隆港務分公司蘇澳港營運處,宜蘭縣蘇澳鎮港區一號,14.25公頃
121.5938314,23.9362763,花蓮縣吉安鄉,光華產業園區,經濟部產業園區管理局,花蓮縣吉安鄉南濱路一段532號,34.08公頃
121.7497349,24.3058161,花蓮縣秀林鄉,和平產業園區,經濟部產業園區管理局,花蓮縣秀林鄉和平村克尼布東路1號,486.73公頃
121.6304045,24.01319,花蓮縣花蓮市,美崙產業園區,經濟部產業園區管理局,花蓮縣花蓮市精美路16號,135.5公頃
121.5950012,23.930873,花蓮縣吉安鄉,光華樂活創意園區,花蓮縣政府,花蓮縣吉安鄉南濱路一段531號2樓,70公頃
121.1327239,22.7561547,台東縣台東市,豐樂工業區,經濟部產業園區管理局,台東市大忠路77號,18.89公頃