公路編號,樁號,編碼樁號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,TWD97-X,TWD97-Y,WGS84-X,WGS84-Y,工程處,工務段
台66,10,P0660010,新屋交流道,中壢;新屋,新屋;中壢,桃園市,觀音區,,263478.7,2763327.1,121.1335076,24.9778166,第一區養護工程處,中壢工務段
台66,13,P0660013,新屋一交流道,"台31線,中壢;台31線,楊梅","台31線,楊梅;台31線,中壢",桃園市,新屋區,(現地牌面為12K),263832,2761396.9,121.1369878,24.9603865,第一區養護工程處,中壢工務段
台66,18,P0660018,平鎮系統交流道,"台1線,中壢,平鎮;國道1號,新竹,台北","國道1號,新竹;國道1號,台北",桃園市,楊梅區,,268385.6,2759068.1,121.1820544,24.9393126,第一區養護工程處,中壢工務段
台66,19,P0660019,平鎮一交流道,"台1線,中壢,平鎮",,桃園市,平鎮區,,269557.3,2758481.7,121.1936486,24.9340044,第一區養護工程處,中壢工務段
台66,20,P0660020,平鎮二交流道,中壢;龍潭,龍潭;平鎮,桃園市,平鎮區,,270886.8,2757865.9,121.2068026,24.9284269,第一區養護工程處,中壢工務段
台66,23,P0660023,平鎮三交流道,平鎮,"龍潭;平鎮,中壢",桃園市,平鎮區,中壢;龍潭,272952.9,2756074.6,121.2272301,24.9122246,第一區養護工程處,中壢工務段
台66,27,P0660027,大溪端,"大溪;國道3號,",,桃園市,大溪區,,275748,2754569,121.2548725,24.8985861,第一區養護工程處,中壢工務段
台68,0,P0680000,南寮端,,"台15線,竹南;台15線,新豐",新竹市,北區,(現地牌面為1南寮端),244537.9,2747715.2,120.9459586,24.8369144,第一區養護工程處,新竹工務段
台68,5,P0680005,新竹一交流道,"新竹,武陵路","新竹,武陵路",新竹市,北區,,245029,2747396.7,120.9508184,24.834041,第一區養護工程處,新竹工務段
台68,7,P0680007,新竹二交流道,,"台1線,新竹,經國路;台1線,竹北,中華路",新竹市,東區,,250100.7,2745490.6,121.0009958,24.8168396,第一區養護工程處,新竹工務段
台68,9,P0680009,竹科交流道,"竹北,國道1號,竹北交流道;國道1號,新竹交流道,新竹科學工業園區","國道1號,新竹交流道,新竹科學工業園區;竹北,國道1號,竹北交流道",新竹市,東區,,250525.9,2745192.7,121.0052017,24.8141497,第一區養護工程處,新竹工務段
台68,15,P0680015,芎林交流道,芎林;二重埔,二重埔;芎林,新竹縣,竹東鎮,,254987,2742396.2,121.0493212,24.7888929,第一區養護工程處,新竹工務段
台68,18,P0680018,竹東一交流道,"台3線,橫山,中豐路;台3線,北埔,中豐路",,新竹縣,竹東鎮,,257224.5,2739150.2,121.0714339,24.7595769,第一區養護工程處,新竹工務段
台68,20,P0680020,竹東二交流道,"台3線,橫山,中豐路;台3線,北埔,中豐路",,新竹縣,竹東鎮,,257455.8,2738801.8,121.0737193,24.75643,第一區養護工程處,新竹工務段
台68,23,P0680023,竹東端,"台3線,北埔",,新竹縣,竹東鎮,,260375.2,2735447.4,121.1025599,24.7261275,第一區養護工程處,新竹工務段
台72,2,P0720002,後龍端,,,苗栗縣,後龍鎮,"(虛擬牌面,現地無牌面)",228917.6,2722804.7,120.791789,24.6118703,第二區養護工程處,苗栗工務段
台72,5,P0720005,新港交流道,,後龍,苗栗縣,後龍鎮,,232268.5,2721302.2,120.8249011,24.5983464,第二區養護工程處,苗栗工務段
台72,6,P0720006,造橋交流道,"台13甲線,造橋;台13甲線,苗栗","台13甲線,苗栗;台13甲線,造橋",苗栗縣,後龍鎮,,231634.8,2721499.7,120.8186405,24.6001224,第二區養護工程處,苗栗工務段
台72,10,P0720010,頭屋一交流道,"台13線,頭屋;台13線,苗栗","台13線,苗栗;台13線,頭屋",苗栗縣,後龍鎮,,233675,2720531.1,120.8387998,24.5914,第二區養護工程處,苗栗工務段
台72,12,P0720012,頭屋二交流道,苗栗縣政府,苗栗縣政府,苗栗縣,頭屋鄉,,234326.2,2718045.2,120.8452577,24.5689624,第二區養護工程處,苗栗工務段
台72,15,P0720015,公館交流道,"台6線,國道1號,公館;台6線,苗栗","台6線,苗栗;台6線,國道1號,公館",苗栗縣,公館鄉,,232540.6,2714937,120.8276673,24.5408794,第二區養護工程處,苗栗工務段
台72,20,P0720020,銅鑼交流道,公館;銅鑼,銅鑼;公館,苗栗縣,銅鑼鄉,,229992.5,2711448.5,120.802565,24.5093509,第二區養護工程處,苗栗工務段
台72,31,P0720031,獅潭端,,,苗栗縣,獅潭鄉,"(虛擬牌面,現地無牌面)",237629.1,2705505.4,120.877975,24.455771,第二區養護工程處,苗栗工務段
台74,0,P0740000,快官交流道,"國道3號,和美","國道3號,南投;國道3號,和美",彰化縣,彰化市,,209713.7,2665229,120.6037541,24.0916406,第二區養護工程處,員林工務段
台74,1,P0740001,成功交流道,烏日,烏日,彰化縣,彰化市,,210496.4,2666211.5,120.6114253,24.1005322,第二區養護工程處,員林工務段
台74,4,P0740004,高鐵台中交流道,高鐵台中站,高鐵台中站,臺中市,南屯區,,211346.4,2668384.5,120.6197288,24.120173,第二區養護工程處,員林工務段
台74,5,P0740005,南屯一交流道,環中路四段,,臺中市,南屯區,,211431.1,2669692.6,120.6205274,24.1319865,第二區養護工程處,員林工務段
台74,7,P0740007,南屯二交流道,五權西路,五權西路,臺中市,南屯區,,211683.8,2670710,120.622986,24.1411789,第二區養護工程處,員林工務段
台74,8,P0740008,西屯一交流道,市政路,市政路,臺中市,南屯區,,211734.4,2671680.1,120.6234582,24.1499392,第二區養護工程處,員林工務段
台74,10,P0740010,西屯二交流道,青海路,朝馬路,臺中市,西屯區,,212326.4,2673184.4,120.6292445,24.1635364,第二區養護工程處,員林工務段
台74,11,P0740011,西屯三交流道,西屯路,西屯路,臺中市,西屯區,,212818.4,2674447.8,120.6340538,24.1749551,第二區養護工程處,員林工務段
台74,13,P0740013,北屯一交流道,凱旋路,凱旋路,臺中市,西屯區,,213728.9,2676494,120.6429637,24.1934528,第二區養護工程處,員林工務段
台74,14,P0740014,北屯二交流道,松竹路三段,,臺中市,西屯區,,215349,2677293.6,120.6588912,24.2007087,第二區養護工程處,員林工務段
台74,16,P0740016,崇德交流道,崇德路,崇德路,臺中市,北屯區,,216243.9,2677325.4,120.6677004,24.2010152,第二區養護工程處,員林工務段
台74,18,P0740018,潭子交流道,"台3線,潭子區中山路","台3線,潭子區中山路",臺中市,北屯區,,218259.3,2677326.8,120.6875404,24.2010698,第二區養護工程處,員林工務段
台74,22,P0740022,松竹交流道,,東山路,臺中市,北屯區,,221634.8,2674008.6,120.7208338,24.1711731,第二區養護工程處,員林工務段
台74,24,P0740024,太原交流道,太原路,太原路,臺中市,北屯區,,221635.2,2674143.5,120.720835,24.1723918,第二區養護工程處,員林工務段
台74,26,P0740026,太平交流道,太平區中山路,樂業路;東平路,臺中市,太平區,,221276.1,2672410.5,120.7173352,24.1567373,第二區養護工程處,員林工務段
台74,30,P0740030,大里一交流道,德芳南路,振興路;太平路,臺中市,大里區,,219579.9,2668394,120.7007275,24.1204395,第二區養護工程處,員林工務段
台74,32,P0740032,大里二交流道,中投公路,,臺中市,大里區,,218031.4,2665259,120.6855632,24.0921019,第二區養護工程處,員林工務段
台74,37,P0740037,霧峰交流道,"台3線,霧峰;國道3號,烏日",,臺中市,大里區,,218231,2663187.2,120.6875718,24.073399,第二區養護工程處,員林工務段
台74甲,1,P0741001,牛埔交流道,"台14線,芬園;台14,彰化",,彰化縣,彰化市,,208900.9,2664401.7,120.5957835,24.0841503,第二區養護工程處,員林工務段
台76,11,P0760011,埔鹽交流道,,"台19線,埔鹽,溪湖;台19線,福興,秀水",彰化縣,埔鹽鄉,,198453.7,2655861.5,120.4933387,24.0067325,第二區養護工程處,員林工務段
台76,15,P0760015,埔鹽系統交流道,"國道1號,彰化;國道1號,北斗","國道1號,北斗;國道1號,彰化",彰化縣,埔鹽鄉,,198604.5,2655340.8,120.4948395,24.0020362,第二區養護工程處,員林工務段
台76,19,P0760019,埔心交流道, 大村;埔心,埔心;大村,彰化縣,埔心鄉,,202307.3,2651764,120.5313497,23.9698559,第二區養護工程處,員林工務段
台76,22,P0760022,員林交流道,"台1線,員林,大村;台1線,永靖,田尾","台1線,永靖,田尾;台1線,員林,大村",彰化縣,埔心鄉,,204449.8,2649664.3,120.5524681,23.9509595,第二區養護工程處,員林工務段
台76,26,P0760026,林厝交流道,林厝;社頭,,彰化縣,員林市,田中,206710.1,2648981,120.5746955,23.9448531,第二區養護工程處,員林工務段
台76,32,P0760032,中興系統交流道,"國道3號,中興新村",,南投縣,南投市,"南投;台14乙線,草屯市區",214617.5,2650209.9,120.6523505,23.956145,第二區養護工程處,員林工務段
台78,0,P0780000,台西交流道,"台17線,台西;台17線,四湖","台17線,四湖;台17線,台西",雲林縣,臺西鄉,(現地牌面為1台西),166555.2,2621026.7,120.1817977,23.6908585,第五區養護工程處,斗南工務段
台78,8,P0780008,東勢交流道,麥寮;東勢,東勢;麥寮,雲林縣,東勢鄉,,172689.2,2619993,120.2419929,23.6818311,第五區養護工程處,斗南工務段
台78,15,P0780015,元長交流道,"台19線,褒忠;台19線,元長","台19線,元長;台19線,褒忠",雲林縣,東勢鄉,,178698.7,2620305.6,120.3008956,23.68493125,第五區養護工程處,斗南工務段
台78,22,P0780022,土庫交流道,土庫,土庫,雲林縣,土庫鎮,,185246.6,2620645.7,120.3650789,23.6882781,第五區養護工程處,斗南工務段
台78,25,P0780025,虎尾交流道,虎尾;土庫,土庫;虎尾,雲林縣,虎尾鎮,,188998.5,2620911.3,120.4018547,23.69082342,第五區養護工程處,斗南工務段
台78,30,P0780030,雲林系統交流道,"國道1號,斗南;國道1號,大林","國道1號,大林;國道1號,斗南",雲林縣,斗南鎮,,193466.8,2619582.6,120.4457172,23.6789886,第五區養護工程處,斗南工務段
台78,32,P0780032,斗南交流道,"台1線,斗南;台1線,大林","台1線,斗南;台1線,大林",雲林縣,大埤鄉,,195800.2,2617307.5,120.4686772,23.65852587,第五區養護工程處,斗南工務段
台78,39,P0780039,古坑交流道,"台3線,斗六;台3線,古坑","台3線,古坑;台3線,斗六",雲林縣,斗六市,,200682.4,2617701.4,120.5165239,23.6622387,第五區養護工程處,斗南工務段
台78,43,P0780043,古坑系統交流道,"國道3號,林內;國道3號,梅山",,雲林縣,古坑鄉,,205219.2,2618288.6,120.5609808,23.6676742,第五區養護工程處,斗南工務段
台82,0,P0820000,東石端,,,嘉義縣,東石鄉,"(虛擬牌面,現地無牌面)",163303.7,2595190.1,120.151419,23.457406,第五區養護工程處,水上工務段
台82,10,P0820010,朴子交流道,"台19線,朴子;台19線,義竹","台19線,義竹;台19線,朴子",嘉義縣,朴子市,,171373.1,2594687.9,120.230422,23.45328092,第五區養護工程處,水上工務段
台82,14,P0820014,祥和交流道,"太保,故宮南院;鹿草","鹿草;太保,故宮南院",嘉義縣,朴子市,,175275.1,2594527,120.2686197,23.45201225,第五區養護工程處,水上工務段
台82,18,P0820018,鹿草交流道,"太保,高鐵站;鹿草","鹿草;太保,高鐵站",嘉義縣,鹿草鄉,,179094.7,2592007,120.3061211,23.42942825,第五區養護工程處,水上工務段
台82,22,P0820022,嘉義系統交流道,"國道1號,嘉義;國道1號,新營","國道1號,新營;國道1號,嘉義",嘉義縣,鹿草鄉,,182722.9,2591777.1,120.3416348,23.42750608,第五區養護工程處,水上工務段
台82,25,P0820025,水上交流道,"台1線,水上;台1線,後壁","台1線,後壁;台1線,水上",嘉義縣,水上鄉,,186165,2590991.7,120.3753509,23.42055297,第五區養護工程處,水上工務段
台82,30,P0820030,中和交流道,嘉義;白河,白河;嘉義,嘉義縣,水上鄉,,189976.5,2590981.2,120.412647,23.42060209,第五區養護工程處,水上工務段
台82,32,P0820032,嘉義交流道,"中埔,嘉義;白河","白河;中埔,嘉義",嘉義縣,水上鄉,,192457,2591696.4,120.436891,23.42714967,第五區養護工程處,水上工務段
台82,34,P0820034,水上系統交流道,,,嘉義縣,水上鄉,"(虛擬牌面,現地無牌面)",195218.3,2592155.8,120.4638954,23.43139311,第五區養護工程處,水上工務段
台84,0,P0840000,北門交流道,,"台61線,將軍;台61線,布袋;台17線,北門",臺南市,學甲區,,163358.8,2574723.2,120.153132,23.272607,第五區養護工程處,新營工務段
台84,1,P0840001,北門交流道,"台17線,北門","台61線,將軍;台61線,布袋",臺南市,北門區,(現地牌面數字宜更正為10),160743.8,2575579.6,120.1275246,23.28019912,第五區養護工程處,新營工務段
台84,8,P0840008,學甲交流道,"台19線,鹽水;台19線,學甲","台19線,學甲;台19線,鹽水",臺南市,學甲區,,165955.3,2574016.2,120.1785489,23.26635756,第五區養護工程處,新營工務段
台84,14,P0840014,下營系統交流道,"國道1號,新營;國道1號,麻豆","國道1號,麻豆;國道1號,新營",臺南市,麻豆區,,170474.1,2569639.8,120.2229408,23.22706583,第五區養護工程處,新營工務段
台84,17,P0840017,麻豆交流道,"台19甲線,下營;台19甲線,麻豆","台19甲線,麻豆;台19甲線,下營",臺南市,下營區,,174351.8,2566987.2,120.26096,23.20329561,第五區養護工程處,新營工務段
台84,21,P0840021,西庄交流道,西庄,,臺南市,麻豆區,,176285.8,2565065.9,120.2799457,23.18603495,第五區養護工程處,新營工務段
台84,21,P0840021,西?交流道,,西庄,臺南市,官田區,,178703.6,2564401.2,120.3035929,23.18013887,第五區養護工程處,新營工務段
台84,21,P0840021,西庄交流道,,西庄,臺南市,官田區,,179557.4,2563880.9,120.3119559,23.17547757,第五區養護工程處,新營工務段
台84,26,P0840026,渡頭交流道,"國道3號,嘉義,台南;台1線,官田,善化","台1線,官田,善化",臺南市,官田區,,180700,2563201.3,120.3231468,23.16938862,第五區養護工程處,新營工務段
台84,27,P0840027,官田系統交流道,,"台1線,善化,官田;國道3號,台南,嘉義",臺南市,官田區,,184315.3,2562918.1,120.3584679,23.16697943,第五區養護工程處,新營工務段
台84,32,P0840032,頭社交流道,頭社;大內,大內;頭社,臺南市,大內區,,185280.1,2560511.8,120.3679929,23.14528824,第五區養護工程處,新營工務段
台84,35,P0840035,二溪交流道,大匏崙;二溪,二溪;大匏崙,臺南市,大內區,,187823.7,2559979.9,120.3928522,23.14058316,第五區養護工程處,新營工務段
台86,0,P0860000,台南端,,,臺南市,南區,"(虛擬牌面,現地無牌面)",165521.1,2537416.7,120.176323,22.935854,第五區養護工程處,新化工務段
台86,2,P0860002,灣裡交流道,台南,台南,臺南市,南區,,166233.2,2537339.4,120.1832697,22.93519182,第五區養護工程處,新化工務段
台86,5,P0860005,台南交流道,"台1線,台南;台1線,湖內","台1線,湖內,路竹;台1線,台南",臺南市,仁德區,,169531.2,2536464.8,120.2154685,22.92745597,第五區養護工程處,新化工務段
台86,8,P0860008,仁德系統交流道,"國道1號,台南;國道1號,路竹","國道1號,路竹;國道1號,台南",臺南市,仁德區,,172558.5,2538259.9,120.2448912,22.94380914,第五區養護工程處,新化工務段
台86,10,P0860010,上崙交流道,歸仁;仁德,仁德;歸仁,臺南市,仁德區,,173800.8,2537647.8,120.2570337,22.93833908,第五區養護工程處,新化工務段
台86,11,P0860011,大潭交流道,"歸仁;大潭,高鐵","大潭,高鐵;歸仁",臺南市,歸仁區,,175429.2,2536948.9,120.2729438,22.93210165,第五區養護工程處,新化工務段
台86,16,P0860016,歸仁交流道,歸仁;關廟,歸仁,臺南市,歸仁區,,178663,2538728.3,120.3043889,22.94831089,第五區養護工程處,新化工務段
台86,18,P0860018,關廟交流道,,,臺南市,關廟區,"(虛擬牌面,現地無牌面)",179711.2,2541392.8,120.314488,22.97241636,第五區養護工程處,新化工務段
台88,0,P0880000,五甲系統交流道,,,高雄市,鳳山區,"(虛擬牌面,現地無牌面)",182311.9,2499922.1,120.341651,22.598028,第三區養護工程處,鳳屏工務段
台88,2,P0880002,鳳山交流道,"鳳山;小港,機場","小港,機場;鳳山",高雄市,鳳山區,,182823,2499272.4,120.346649,22.59218,第三區養護工程處,鳳屏工務段
台88,7,P0880007,大寮交流道,"台25線,大寮;台25線,林園","台25線,林園;台25線,大寮",高雄市,大寮區,,187456.7,2498909.4,120.391728,22.589079,第三區養護工程處,鳳屏工務段
台88,9,P0880009,大發交流道,"大樹,和發產業園區;大發工業區",大發工業區;大樹,高雄市,大寮區,,189642.6,2498606.8,120.412998,22.586425,第三區養護工程處,鳳屏工務段
台88,15,P0880015,萬丹交流道,"台27線,萬丹,屏東;台27線,新園,東港","台27線,新園,東港;台27線,萬丹,屏東",屏東縣,萬丹鄉,,194759.7,2498689.4,120.462759,22.587345,第三區養護工程處,鳳屏工務段
台88,21,P0880021,竹田系統交流道,"國道3號,屏東;國道3號,林邊","國道3號,林邊;國道3號,屏東",屏東縣,竹田鄉,,199198.6,2496135.4,120.50601,22.564419,第三區養護工程處,鳳屏工務段
台88,22,P0880022,竹田端,,,屏東縣,竹田鄉,"(虛擬牌面,現地無牌面)",202345.7,2496788.5,120.536592,22.570409,第三區養護工程處,鳳屏工務段
