站點ID,站點名稱,站點地址,車站級別,lat,lng
3260,頭家厝,427臺中市潭子區頭張東路43巷8號,4,24.19572,120.70398
3270,松竹,40615臺中市北屯區舊社里松竹路一段1473巷100號,4,24.18045,120.70196999999999
3280,太原,40645臺中市北屯區北興里東光路 665 號,4,24.165010000000002,120.69986000000002
3290,精武,40151臺中市東區東南里東光路 161號,4,24.149279999999997,120.69776999999999
3300,臺中,40043臺中市中區綠川里臺灣大道一段 1 號,0,24.13747,120.68691000000001
3310,五權,40219臺中市南區建國南路二段201號,4,24.12894,120.66653000000001
3320,大慶,40242臺中市南區樹德里7鄰大慶街2段130號,4,24.11958,120.64871000000001
3330,烏日,41442臺中市烏日區烏日里三民街 258 號,4,24.10867,120.62244
3340,新烏日,41456臺中市烏日區三和里高鐵東一路 26 號,2,24.10976,120.61429
3350,成功,41453臺中市烏日區榮泉里中山路三段 550 號,3,24.11424,120.59021000000001
3360,彰化,50043彰化縣彰化市長樂里三民路 1 號,1,24.08171,120.53828
3370,花壇,50341彰化縣花壇鄉花壇村中正路 370 號,4,24.02521,120.53759
3380,大村,515彰化縣大村鄉過溝村福進路 100 號,4,23.990029999999997,120.56068
3390,員林,51041彰化縣員林市和平里民權街 55 號,1,23.959329999999998,120.56995
3400,永靖,51241彰化縣永靖鄉崙子村永崙路 25 號,5,23.92811,120.57165
3410,社頭,51155彰化縣社頭鄉廣興村社站路 10 號,3,23.89571,120.58081999999999
3420,田中,52042彰化縣田中鎮中路里中州路一段 1 號,2,23.85827,120.59121
3430,二水,53042彰化縣二水鄉光化村光文路 1 號,2,23.81321,120.61805
3431,源泉,530彰化縣二水鄉合興村英義路 (無站房),5,23.798460000000002,120.64208
3432,濁水,55141南投縣名間鄉濁水村車站路 15 號,4,23.834670000000003,120.70467
3433,龍泉,552南投縣集集鎮隘寮村龍泉巷 (無站房),5,23.83521,120.74996000000002
3434,集集,55241南投縣集集鎮吳厝里民生路 75 號,5,23.826529999999998,120.78491000000001
3435,水里,55353南投縣水里鄉水里村民生路 440 號,4,23.81844,120.85333
3436,車埕,55345南投縣水里鄉車埕村民權巷 2 號,5,23.832629999999998,120.86572
3450,林內,64341雲林縣林內鄉林中村中山路 42 號,3,23.75967,120.61498999999999
3460,石榴,64071雲林縣斗六市榴北里文明路 31 號,5,23.73167,120.57998
3470,斗六,64050雲林縣斗六市信義里民生路 187 號,1,23.711570000000002,120.54117
3480,斗南,63042雲林縣斗南鎮南昌里中山路 2 號,2,23.67302,120.48095
3490,石龜,630雲林縣斗南鎮石龜里,5,23.63951,120.47106000000001
4050,大林,62242嘉義縣大林鎮吉林里中山路 2 號,3,23.60112,120.45585
4060,民雄,62142嘉義縣民雄鄉東榮村和平路 2 號,3,23.555020000000003,120.43136000000001
4070,嘉北,60079嘉義市 東區後湖里保建街 110 號,4,23.49985,120.44852
4080,嘉義,60041嘉義市 西區番社里中山路 528 號,1,23.479020000000002,120.44124
4090,水上,60841嘉義縣水上鄉下寮村鴿溪寮 49 號,4,23.433889999999998,120.39961000000001
4100,南靖,60859嘉義縣水上鄉三鎮村三鎮路 26 號,4,23.41346,120.38646999999999
4110,後壁,73143臺南市後壁區後壁里後壁 77 號,4,23.36626,120.36058
4120,新營,73045臺南市新營區中營里中山路 1 號,1,23.306729999999998,120.32307
900,基隆,1041基隆市中山區民治里1鄰中山一路16之 1號,1,25.13411,121.73997
910,三坑,20045基隆市仁愛區德厚里龍安街 206 號,4,25.12305,121.74202
920,八堵,20541基隆市暖暖區八南里八堵路 142 號,2,25.10843,121.72898
930,七堵,20646基隆市七堵區長興里東新街 2 號,1,25.09294,121.71415
940,百福,20651基隆市七堵區堵南里明德三路 1 之 1 號,4,25.07803,121.69373
950,五堵,22178新北市汐止區長安里長安路 17 號,4,25.07784,121.66763999999999
960,汐止,22166新北市汐止區信望里信義路 1 號,2,25.068939999999998,121.66243999999999
970,汐科,22184新北市汐止區大同里大同路二段 182 號,4,25.06261,121.64658999999999
980,南港,1151臺北市南港區南港里南港路一段 313 號,1,25.05348,121.60706
990,松山,11088臺北市信義區永吉里松山路 11 號B1,1,25.04936,121.57807
1000,臺北,100230臺北市中正區黎明里北平西路 3 號,0,25.047710000000002,121.51783999999999
1001,臺北-環島,100230臺北市中正區,4,25.04811,121.51793
1010,萬華,108220臺北市萬華區富福里康定路 382 號,1,25.033479999999997,121.49983999999999
1020,板橋,2201新北市板橋區新民里站前路,1,25.014689999999998,121.46351999999999
1030,浮洲,22058新北市板橋區僑中里僑中二街 156 號,4,25.004189999999998,121.44476999999999
1040,樹林,23845新北市樹林區樹北里鎮前街 112 號,1,24.99121,121.42481000000001
1050,南樹林,23846新北市樹林區東山里中山路二段 230 號,4,24.980339999999998,121.40891
1060,山佳,23852新北市樹林區中山里山佳街 28 號,3,24.97233,121.39273
1070,鶯歌,23942新北市鶯歌區東鶯里文化路 68-1號,2,24.954320000000003,121.35535
1080,桃園,33041桃園市桃園區武陵里中正路 1 號,1,24.98941,121.31398999999999
1090,內壢,32072桃園市中壢區中原里中華路一段 267 號,3,24.97287,121.25814
1100,中壢,32041桃園市中壢區石頭里中和路 139 號,1,24.95382,121.22571
1110,埔心,32653桃園市楊梅區埔心里永美路 208 號,3,24.91945,121.18366
1120,楊梅,32643桃園市楊梅區楊梅里大成路 256 號,3,24.91391,121.14634
1130,富岡,32649桃園市楊梅區富岡里成功路 37 號,3,24.934620000000002,121.08313000000001
1140,新富,32649桃園市楊梅區富豐里富全街 1 號,5,24.931070000000002,121.06759
1150,北湖,30371新竹縣湖口鄉東興村北湖路 1 號,4,24.92191,121.05586000000001
1160,湖口,30342新竹縣湖口鄉仁勢村中山路二段 121 號,3,24.90292,121.04411999999999
1170,新豐,30442新竹縣新豐鄉山崎村新興路 202 號,3,24.86961,120.99654
1180,竹北,30265新竹縣竹北市竹義里和平街 59 號,3,24.83892,121.00936000000002
1190,北新竹,30060新竹市 東區東園里中華路一段 291 之 2 號,4,24.80876,120.98385
1191,千甲,30059新竹市 東區水源里千甲路 142 號,4,24.80669,121.00301
1192,新莊,30073新竹市 東區新莊里關東路 310 號,4,24.78819,121.02181999999999
1193,竹中,31061新竹縣竹東鎮頭重里竹中路 145 號,4,24.78125,121.03116999999999
1194,六家,30273新竹縣竹北市隘口里復興三路二段 229 號,4,24.80751,121.03921000000001
1201,上員,310新竹縣竹東鎮上員里光明路 (無站房),5,24.77797,121.05554
1202,榮華,310新竹縣竹東鎮仁愛里北興路 (無站房),5,24.74851,121.08296000000001
1220,三姓橋,30093新竹市 香山區香山里元培街 32 巷 30 號,4,24.787229999999997,120.92838
1230,香山,30094新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,4,24.76321,120.91391000000002
1240,崎頂,35054苗栗縣竹南鎮崎頂里北戶 55 號,5,24.72281,120.87213
1250,竹南,35041苗栗縣竹南鎮竹南里中山路 166 號,1,24.686629999999997,120.88041000000001
2110,談文,36143苗栗縣造橋鄉談文村仁愛路 29 號,5,24.65641,120.85825
2120,大山,35658苗栗縣後龍鎮大山里明山路 180 號,4,24.64565,120.80376000000001
2130,後龍,35641苗栗縣後龍鎮北龍里車站街 127-2 號,3,24.61621,120.78731
2140,龍港,35668苗栗縣後龍鎮龍京里公司寮 85 號,5,24.61169,120.75811999999999
2150,白沙屯,35742苗栗縣通霄鎮白西里白西 131 號,3,24.56481,120.70823999999999
2160,新埔,35742苗栗縣通霄鎮新埔里新埔 57 號,4,24.54018,120.69518000000001
2170,通霄,35741苗栗縣通霄鎮通西里中正路 109 號,3,24.491410000000002,120.67843
2180,苑裡,35841苗栗縣苑裡鎮苑北里中山路 165 號,3,24.44344,120.65146000000001
2190,日南,43771臺中市大甲區孟春里中山路二段 140 巷 8 號,4,24.37805,120.65411999999999
2200,大甲,43744臺中市大甲區大甲里中山路一段 828 號,2,24.344479999999997,120.62702
2210,臺中港,43642臺中市清水區頂湳里甲南路 2 號,2,24.30441,120.60231
2220,清水,43653臺中市南社里中正街 115 號,3,24.26364,120.56918
2230,沙鹿,43353臺中市沙鹿區沙鹿里中正街 94 號,2,24.23702,120.55752
2240,龍井,43450臺中市龍井區龍泉里龍新路 1 號,3,24.19745,120.54336
2250,大肚,43242臺中市大肚區頂街里平和街 121 號,3,24.15401,120.54255
2260,追分,43245臺中市大肚區王田里追分街 13 號,3,24.12061,120.57014
3140,造橋,36144苗栗縣造橋鄉造橋村平仁路 54 號,5,24.64206,120.86719
3150,豐富,35648苗栗縣後龍鎮校椅里高鐵一路 66 號,4,24.60131,120.82356999999999
3160,苗栗,3603苗栗縣苗栗市上苗里為公路 1 號,1,24.57002,120.82263999999999
3170,南勢,36063苗栗縣苗栗市新英里南勢 39 號,5,24.52234,120.79157
3180,銅鑼,36641苗栗縣銅鑼鄉銅鑼村大同路 13 號,3,24.48648,120.78616000000001
3190,三義,36741苗栗縣三義鄉雙湖村雙湖 90 號,3,24.42066,120.77393000000001
3210,泰安,42156臺中市后里區泰安里安眉路 37 之 12 號,4,24.33146,120.74181000000002
3220,后里,42142臺中市后里區義里里甲后路一段 1 號 （本站無障礙電梯2022/12/12起進行電梯系統改善工程，因施工原因需停用約1個月。）,3,24.30933,120.73288000000001
3230,豐原,42056臺中市豐原區豐原里中正路 1 號,1,24.25413,120.72291000000001
3240,栗林,427臺中市潭子區潭豐路二段747號,4,24.23481,120.71068999999999
3250,潭子,42751臺中市潭子區中山路二段352-1號,3,24.21255,120.70584
4130,柳營,73657臺南市柳營區東昇里建國路 1 號,4,23.277620000000002,120.32252
4140,林鳳營,73444臺南市六甲區中社里林鳳營 16 號,4,23.24259,120.32106999999999
4150,隆田,72041臺南市官田區隆田里中山路一段 1 號,2,23.19271,120.31917
4160,拔林,72044臺南市官田區拔林里拔子林 83 之 1 號,5,23.17287,120.32117
4170,善化,74154臺南市善化區光文里中山路 1 號,2,23.133329999999997,120.30653000000001
4180,南科,74443臺南市新市區大營里大營 287-300 號,4,23.10714,120.30175
4190,新市,74448臺南市新市區新和里中華路 1 號,3,23.06816,120.29003999999999
4200,永康,71090臺南市永康區埔園里中山路 459 號,2,23.03825,120.25347
4210,大橋,71049臺南市永康區西橋里中華路 835 號,4,23.01923,120.22429
4220,臺南,70146臺南市東區成大里北門路二段 4 號,1,22.99719,120.21248999999999
4250,保安,71755臺南市仁德區保安里文賢路一段 529 巷 10 號,3,22.93296,120.23158000000001
4260,仁德,71750臺南市仁德區保安里永德路 10 號,4,22.92364,120.24061
4270,中洲,71754臺南市仁德區中洲五街236號,2,22.90466,120.25286000000001
4271,長榮大學,71150臺南市歸仁區大潭里長大路15 號,4,22.90735,120.27273999999998
4272,沙崙,71151臺南市歸仁區沙崙里歸仁大道 102 號,4,22.92419,120.28635
4290,大湖,82144高雄市路竹區甲南里天祐路 24 號,3,22.87821,120.25384
4300,路竹,82146高雄市路竹區竹南里中正路 288 號,3,22.854039999999998,120.26619
4310,岡山,82065高雄市岡山區碧紅里岡燕路 111 號,1,22.79221,120.29983999999999
4320,橋頭,82548高雄市橋頭區橋頭里站前街 14 號,3,22.76098,120.31011000000001
4330,楠梓,81162高雄市楠梓區惠楠里建楠路 229 號,2,22.72717,120.32453000000001
4340,新左營,81314高雄市左營區尾北里站前北路 1 號,1,22.68754,120.30678
4350,左營,81314高雄市左營區翠華路1050號地下1層,4,22.67557,120.29555
4360,內惟,80456高雄市鼓山區翠華路500號地下1層,4,22.66607,120.28738
4370,美術館,80460高雄市鼓山區翠華路246號,4,22.65298,120.28163
4380,鼓山,80445高雄市鼓山區鐵路街20巷6號,4,22.64169,120.28071000000001
4390,三塊厝,80748高雄市三民區德北里6鄰康平街1號,4,22.63901,120.29381000000001
4400,高雄,80750高雄市三民區港西里建國二路 318 號,0,22.63801,120.30313000000001
4410,民族,807高雄市三民區博惠里14鄰凱旋一路260號,4,22.63881,120.31478999999999
4420,科工館,807高雄市三民區寶盛里15鄰大順三路307號,4,22.63702,120.32663000000001
4430,正義,802高雄市苓雅區建軍里正義路 308 號 B1,4,22.63425,120.34245
4440,鳳山,83064高雄市鳳山區曹公里曹公路 137 號,2,22.63131,120.35746
4450,後庄,83143高雄市大寮區後庄里民慶街 9 號,4,22.64013,120.39132
4460,九曲堂,84041高雄市大樹區久堂里久堂路鐵路巷 15 號,3,22.656579999999998,120.42071999999999
4470,六塊厝,90082屏東縣屏東市長安里光復路 392 號,5,22.66619,120.46491
5000,屏東,90078屏東縣屏東市擇仁里公勇路 62 號,1,22.669610000000002,120.48626999999999
5010,歸來,90043屏東縣屏東市歸來里歸仁路 5 之 4 號,5,22.65214,120.50294
5020,麟洛,90941屏東縣麟洛鄉田道村中華路站前巷 15 號,5,22.63478,120.51446000000001
5030,西勢,91142屏東縣竹田鄉西勢村西豐路 2 號,3,22.61661,120.52677
5040,竹田,91144屏東縣竹田鄉履豐村豐明路29 號,4,22.586479999999998,120.54008999999999
5050,潮州,92045屏東縣潮州鎮新榮里信義路 111 號,1,22.55007,120.53662
5060,崁頂,92442屏東縣崁頂鄉崁頂村中正路 122 號,5,22.51311,120.51481000000001
5070,南州,92643屏東縣南州鄉仁里村仁里路 86 號,3,22.49203,120.51158999999998
5080,鎮安,92748屏東縣林邊鄉鎮安村永和路 4 號,5,22.45794,120.51151000000002
5090,林邊,92744屏東縣林邊鄉仁和村仁愛路 33 號,3,22.43141,120.51538000000001
5100,佳冬,931屏東縣佳冬鄉六根村復興路21號,4,22.41416,120.54782
5110,東海,94042屏東縣枋寮鄉東海村西安路 92 號,5,22.39903,120.57252
5120,枋寮,94043屏東縣枋寮鄉枋寮村儲運路 18 號,2,22.36786,120.59501000000002
5130,加祿,94145屏東縣枋山鄉加祿村會社 53 號,3,22.33085,120.62445
5140,內獅,94150屏東縣枋山鄉加祿村南和 43 號,5,22.30615,120.64322
5160,枋山,94350屏東縣獅子鄉內獅村內獅巷 84 號,4,22.26677,120.65968000000001
5170,枋野,94350屏東縣獅子鄉內獅村內獅巷 88 號,3,22.280910000000002,120.71708999999998
5190,大武,96541臺東縣大武鄉大鳥村和平部落 33 號,3,22.365370000000002,120.90091000000001
5200,瀧溪,96345臺東縣太麻里鄉多良村大溪 37 號,4,22.46102,120.94176000000002
5210,金崙,96344臺東縣太麻里鄉金崙村金崙 47 之 17 號,3,22.53161,120.96721000000001
5220,太麻里,96346臺東縣太麻里鄉大王村站前路 2 號,3,22.61879,121.00505
5230,知本,95093臺東縣臺東市知本里知本路二段 900 巷 85 號,3,22.71023,121.06058999999999
5240,康樂,95060臺東縣臺東市康樂里博物館路 51 巷 131 號,4,22.76406,121.09338000000001
5999,潮州基地,92054屏東縣潮州鎮光春里光復路 616 號,4,22.52231,120.52642
6000,臺東,95058臺東縣臺東市岩灣里岩灣路 101 巷 598 號,1,22.79375,121.12326000000002
6010,山里,95443臺東縣卑南鄉嘉豐村山里路 108 號,3,22.86194,121.13778
6020,鹿野,95542臺東縣鹿野鄉鹿野村中正路 38 號,3,22.91251,121.13696000000002
6030,瑞源,95543臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1,3,22.956129999999998,121.15902
6040,瑞和,95543臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號,5,22.98001,121.15573
6050,關山,95662臺東縣關山鎮里壠里博愛路 2 號,3,23.04564,121.16441
6060,海端,95664臺東縣關山鎮德高里西莊 49 號,4,23.10292,121.17676000000002
6070,池上,95862臺東縣池上鄉福文村鐵花路 30 號,3,23.12605,121.21956000000002
6080,富里,98341花蓮縣富里鄉富里村車站街 56 號,3,23.17935,121.24864
6090,東竹,98391花蓮縣富里鄉新興村新興 26 號,3,23.22612,121.27843999999999
6100,東里,98392花蓮縣富里鄉東里村大莊路 15 之 6 號,3,23.27233,121.30425
6110,玉里,98143花蓮縣玉里鎮中城里康樂街 39 號,1,23.33161,121.31181000000001
6120,三民,98191花蓮縣玉里鎮三民里三民 10 號,3,23.42463,121.34561000000001
6130,瑞穗,97841花蓮縣瑞穗鄉瑞穗村四維街 13 號,3,23.49739,121.37688999999999
6140,富源,97843花蓮縣瑞穗鄉富源村富源路 2 號,3,23.58028,121.38003
6150,大富,97644花蓮縣光復鄉大富村明德路 1 號,5,23.60572,121.38968999999999
6160,光復,97645花蓮縣光復鄉大安村中正路一段 2 之 1 號,3,23.66633,121.42125
6170,萬榮,97543花蓮縣鳳林鎮長橋里長德街 17 號,3,23.71199,121.41906999999999
6180,鳳林,97545花蓮縣鳳林鎮鳳智里中山路 43 號,3,23.74625,121.44708
6190,南平,97542花蓮縣鳳林鎮南平里自強路 233 號,3,23.78228,121.45833
6200,林榮新光,97542花蓮縣鳳林鎮兆豐路800號,4,23.80225,121.46205
6210,豐田,97451花蓮縣壽豐鄉豐山村站前街 36 號,4,23.84836,121.49618999999998
6220,壽豐,97442花蓮縣壽豐鄉壽豐村壽山路 1 號,3,23.86901,121.51064
6230,平和,97445花蓮縣壽豐鄉平和村平和路 1 號,5,23.88275,121.52036000000001
6240,志學,97443花蓮縣壽豐鄉志學村中正路 1 號,3,23.907510000000002,121.52946999999999
6250,吉安,97350花蓮縣吉安鄉南昌村南昌路1號,3,23.96825,121.58261
7000,花蓮,97055花蓮縣花蓮市國聯里國聯一路 100 號,0,23.992639999999998,121.60158
7010,北埔,97147花蓮縣新城鄉北埔村自強街 113 號,3,24.032510000000002,121.60189
7020,景美,97243花蓮縣秀林鄉景美村加灣 178 之 1 號,4,24.09039,121.61103
7030,新城,97163花蓮縣新城鄉新城村新興一路 73 號,2,24.12761,121.64103
7040,崇德,97253花蓮縣秀林鄉崇德村海濱路 96 號,3,24.17199,121.65536000000002
7050,和仁,97291花蓮縣秀林鄉和平村和仁 71 號,3,24.24219,121.71191999999999
7060,和平,97291花蓮縣秀林鄉和平村和平 276 號,2,24.29825,121.75322
7070,漢本,27247宜蘭縣南澳鄉澳花村蘇花路一段 56 號,3,24.335420000000003,121.76829
7080,武塔,27245宜蘭縣南澳鄉武塔村新溪路 18 號,5,24.44879,121.77601000000001
7090,南澳,27092宜蘭縣蘇澳鎮南強里大通路 22 號,3,24.463420000000003,121.80103000000001
7100,東澳,27291宜蘭縣南澳鄉東岳村東岳路 1 號,2,24.518279999999997,121.83071000000001
7110,永樂,27046宜蘭縣蘇澳鎮永樂里圳頭路 60 號,3,24.56843,121.84458000000001
7120,蘇澳,27048宜蘭縣蘇澳鎮蘇南里太平路 1 號,2,24.59514,121.85144
7130,蘇澳新,27048宜蘭縣蘇澳鎮聖愛里中山路二段 238 之 1 號,1,24.608520000000002,121.82718999999999
7140,新馬,27048宜蘭縣蘇澳鎮新城里中山路二段 322 號,5,24.61535,121.82292
7150,冬山,26946宜蘭縣冬山鄉冬山村中正路 1 號,3,24.63642,121.79221000000001
7160,羅東,26550宜蘭縣羅東鎮大新里公正路 2 號,2,24.67795,121.77423999999999
7170,中里,26844宜蘭縣五結鄉中興村台興路 10 號,5,24.69415,121.77526
7180,二結,26843宜蘭縣五結鄉五結中路三段658巷8號,3,24.705289999999998,121.77411000000001
7190,宜蘭,26043宜蘭縣宜蘭市和睦里光復路 1 號,1,24.754620000000003,121.75791000000001
7200,四城,26245宜蘭縣礁溪鄉吳沙村站前路 24 號,4,24.786839999999998,121.76268
7210,礁溪,26248宜蘭縣礁溪鄉德陽村溫泉路 1 號,3,24.82705,121.77523000000001
7220,頂埔,26142宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,5,24.84383,121.80918
7230,頭城,26146宜蘭縣頭城鎮纘祥路 59 號,2,24.85898,121.82253
7240,外澳,261宜蘭縣頭城鎮濱海路二段 217 號,5,24.88371,121.84576000000001
7250,龜山,26144宜蘭縣頭城鎮更新里濱海路三段 261 號,4,24.90486,121.86889
7260,大溪,26145宜蘭縣頭城鎮濱海路五段 63 號,5,24.93836,121.88983
7270,大里,26145宜蘭縣頭城鎮大里里濱海路六段 326 號,4,24.96688,121.92257
7280,石城,26145宜蘭縣頭城鎮濱海路七段 230 號,5,24.97832,121.94507
7290,福隆,22841新北市貢寮區福隆里福隆街 2 號,3,25.01598,121.94471000000001
7300,貢寮,22843新北市貢寮區貢寮里朝陽街 33 號,4,25.02204,121.90872
7310,雙溪,22744新北市雙溪區新基里朝陽街 1 號,2,25.038610000000002,121.86415
7320,牡丹,22741新北市雙溪區牡丹里51號,5,25.058770000000003,121.84974
7330,三貂嶺,22446新北市瑞芳區碩仁里魚寮路 1 號,3,25.06555,121.82258999999999
7331,大華,22643新北市平溪區南山里六分 12 之 1 號,5,25.04993,121.79751
7332,十分,22643新北市平溪區十分里十分街 51 號,4,25.04111,121.77514
7333,望古,226新北市平溪區望古里 (無站房),5,25.03445,121.76348999999999
7334,嶺腳,22641新北市平溪區嶺腳里嶺腳寮 22 號,5,25.03021,121.74784
7335,平溪,22641新北市平溪區平溪里中華街 12 號,4,25.02552,121.73993999999999
7336,菁桐,22642新北市平溪區菁桐里菁桐街 52 號,4,25.02384,121.72393999999998
7350,猴硐,22446新北市瑞芳區光復里柴寮路 70 號,3,25.08711,121.82741000000001
7360,瑞芳,22441新北市瑞芳區龍潭里明燈路三段 82 號,1,25.108610000000002,121.80596000000001
7361,海科館,2021基隆市中正區長潭里,5,25.137439999999998,121.79987
7362,八斗子,202基隆市中正區砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房),5,25.13481,121.80411000000001
7380,四腳亭,22449新北市瑞芳區吉慶里中央路 65 號,3,25.10281,121.76191999999999
7390,暖暖,205基隆市暖暖區暖暖里暖暖街 51 號,5,25.10224,121.74048
1203,竹東,31047新竹縣竹東鎮雞林里東林路 196 號,2,24.73811,121.09465
1204,橫山,31241新竹縣橫山鄉橫山村橫山路 97 號 (無站房),5,24.72051,121.11657
1205,九讚頭,31242新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,4,24.720679999999998,121.13621
1206,合興,31243新竹縣橫山鄉力行村中山街一段 17 號,5,24.71649,121.15433999999999
1207,富貴,312新竹縣橫山鄉豐田村中山街一段 (無站房),5,24.715529999999998,121.16729
1208,內灣,31243新竹縣橫山鄉內灣村中正路 6 號,4,24.70526,121.18247
1210,新竹,30060新竹市 東區榮光里中華路二段 445 號,1,24.80169,120.97156000000001
